title,text,rating,date,user,userLocation,text_len,text_clean,tokens,token_count,tokens_lemma,text_processed,sentimiento
Old town the place to be in Quilto,"Old Town in Quilto is amazing to walk around and enjoy, very much like some of the European on town with the narrow street with cobblestones.Even more impressive when you consider the slopes of streets being in Andes very hilly.All areas in old town are within walking distance so it’s just great to walk around and get lost in the streets, nice variety of shops, restaurants, cafes to enjoy.",5,2026-05-03,Jason S,"Melbourne, Australia",392,old town in quilto is amazing to walk around and enjoy very much like some of the european on town with the narrow street with cobblestones even more impressive when you consider the slopes of streets being in andes very hilly all areas in old town are within walking distance so it s just great to walk around and get lost in the streets nice variety of shops restaurants cafes to enjoy,"['quilto', 'amazing', 'walk', 'around', 'enjoy', 'european', 'narrow', 'street', 'cobblestones', 'impressive', 'consider', 'slopes', 'streets', 'andes', 'hilly', 'areas', 'within', 'walking', 'distance', 'great', 'walk', 'around', 'lost', 'streets', 'nice', 'variety', 'shops', 'restaurants', 'cafes', 'enjoy']",30,"['quilto', 'amazing', 'walk', 'around', 'enjoy', 'european', 'narrow', 'street', 'cobblestone', 'impressive', 'consider', 'slope', 'street', 'andes', 'hilly', 'area', 'within', 'walking', 'distance', 'great', 'walk', 'around', 'lost', 'street', 'nice', 'variety', 'shop', 'restaurant', 'cafe', 'enjoy']",quilto amazing walk around enjoy european narrow street cobblestone impressive consider slope street andes hilly area within walking distance great walk around lost street nice variety shop restaurant cafe enjoy,Positivo
Very easily explorable on foot.,"We wondered through the old city of Quito on foot. - exploring, taking it in and enjoying. We, of course, visited the old square, several churches, boutiques and stores. We enjoyed delicious coffee in cafes- like bodega di Cantuna. Several monuments drew our attention.It is a delightful colonial old city easily walkable and navigable.",5,2026-02-08,podrozniczka60,,336,we wondered through the old city of quito on foot exploring taking it in and enjoying we of course visited the old square several churches boutiques and stores we enjoyed delicious coffee in cafes like bodega di cantuna several monuments drew our attention it is a delightful colonial old city easily walkable and navigable,"['wondered', 'city', 'foot', 'exploring', 'taking', 'enjoying', 'course', 'visited', 'square', 'several', 'churches', 'boutiques', 'stores', 'enjoyed', 'delicious', 'coffee', 'cafes', 'bodega', 'cantuna', 'several', 'monuments', 'drew', 'attention', 'delightful', 'colonial', 'city', 'easily', 'walkable', 'navigable']",29,"['wondered', 'city', 'foot', 'exploring', 'taking', 'enjoying', 'course', 'visited', 'square', 'several', 'church', 'boutique', 'store', 'enjoyed', 'delicious', 'coffee', 'cafe', 'bodega', 'cantuna', 'several', 'monument', 'drew', 'attention', 'delightful', 'colonial', 'city', 'easily', 'walkable', 'navigable']",wondered city foot exploring taking enjoying course visited square several church boutique store enjoyed delicious coffee cafe bodega cantuna several monument drew attention delightful colonial city easily walkable navigable,Positivo
Travel Responsibly,Quito: where the sky touches the earth.Quito: where the sky touches the earth.The best of Ecuador to travel and get to know all the architecture and how modern and ancient the city is,5,2026-01-14,Ecuador FunTrip | Travel Responsibly,Ecuador,183,quito where the sky touches the earth quito where the sky touches the earth the best of ecuador to travel and get to know all the architecture and how modern and ancient the city is,"['sky', 'touches', 'earth', 'sky', 'touches', 'earth', 'best', 'travel', 'know', 'architecture', 'modern', 'ancient', 'city']",13,"['sky', 'touch', 'earth', 'sky', 'touch', 'earth', 'best', 'travel', 'know', 'architecture', 'modern', 'ancient', 'city']",sky touch earth sky touch earth best travel know architecture modern ancient city,Positivo
A very interesting old town,"We spent three days walking in Quito, and the city really seduced us. The historic centre and the old town are a real colonial jewel, with cobblestone streets, lively squares and colourful facades. Quito, founded in 1534 on the remains of ancient Inca cities, is full of history and architecture: baroque churches such as the Compañía or San Francisco are incredible, often richly decorated and very photogenic. Local markets bring a lively and authentic touch, with crafts, fruit, and local specialties. Every corner offers a discovery, and walking allows you to feel the unique atmosphere of this city that combines heritage, culture and daily life. A real favorite for history and architecture lovers!",5,2025-11-22,Régis1972,"Lancy, Switzerland",704,we spent three days walking in quito and the city really seduced us the historic centre and the old town are a real colonial jewel with cobblestone streets lively squares and colourful facades quito founded in on the remains of ancient inca cities is full of history and architecture baroque churches such as the compañía or san francisco are incredible often richly decorated and very photogenic local markets bring a lively and authentic touch with crafts fruit and local specialties every corner offers a discovery and walking allows you to feel the unique atmosphere of this city that combines heritage culture and daily life a real favorite for history and architecture lovers,"['spent', 'three', 'days', 'walking', 'city', 'seduced', 'historic', 'centre', 'real', 'colonial', 'jewel', 'cobblestone', 'streets', 'lively', 'squares', 'colourful', 'facades', 'founded', 'remains', 'ancient', 'inca', 'cities', 'full', 'history', 'architecture', 'baroque', 'churches', 'compañía', 'san', 'francisco', 'incredible', 'often', 'richly', 'decorated', 'photogenic', 'local', 'markets', 'bring', 'lively', 'authentic', 'touch', 'crafts', 'fruit', 'local', 'specialties', 'every', 'corner', 'offers', 'discovery', 'walking', 'allows', 'feel', 'unique', 'atmosphere', 'city', 'combines', 'heritage', 'culture', 'daily', 'life', 'real', 'favorite', 'history', 'architecture', 'lovers']",65,"['spent', 'three', 'day', 'walking', 'city', 'seduced', 'historic', 'centre', 'real', 'colonial', 'jewel', 'cobblestone', 'street', 'lively', 'square', 'colourful', 'facade', 'founded', 'remains', 'ancient', 'inca', 'city', 'full', 'history', 'architecture', 'baroque', 'church', 'compañía', 'san', 'francisco', 'incredible', 'often', 'richly', 'decorated', 'photogenic', 'local', 'market', 'bring', 'lively', 'authentic', 'touch', 'craft', 'fruit', 'local', 'specialty', 'every', 'corner', 'offer', 'discovery', 'walking', 'allows', 'feel', 'unique', 'atmosphere', 'city', 'combine', 'heritage', 'culture', 'daily', 'life', 'real', 'favorite', 'history', 'architecture', 'lover']",spent three day walking city seduced historic centre real colonial jewel cobblestone street lively square colourful facade founded remains ancient inca city full history architecture baroque church compañía san francisco incredible often richly decorated photogenic local market bring lively authentic touch craft fruit local specialty every corner offer discovery walking allows feel unique atmosphere city combine heritage culture daily life real favorite history architecture lover,Positivo
Historic Center,"We really enjoyed walking around the Quito main square and other parts of the historic center.  There were some nice spots for photos and it was not particularly crowded.  There were a few vendors including those with tables set up to sell hand crafts as well as some stands selling various candies.  I do recommend going with a guide so that you can gain an understanding.  Overall, a very good experience.",5,2025-05-29,LSQRD1,"Kent, Ohio",407,we really enjoyed walking around the quito main square and other parts of the historic center there were some nice spots for photos and it was not particularly crowded there were a few vendors including those with tables set up to sell hand crafts as well as some stands selling various candies i do recommend going with a guide so that you can gain an understanding overall a very good experience,"['enjoyed', 'walking', 'around', 'main', 'square', 'parts', 'historic', 'center', 'nice', 'spots', 'photos', 'particularly', 'crowded', 'vendors', 'including', 'tables', 'set', 'sell', 'hand', 'crafts', 'stands', 'selling', 'various', 'candies', 'recommend', 'going', 'guide', 'gain', 'understanding', 'overall', 'good', 'experience']",32,"['enjoyed', 'walking', 'around', 'main', 'square', 'part', 'historic', 'center', 'nice', 'spot', 'photo', 'particularly', 'crowded', 'vendor', 'including', 'table', 'set', 'sell', 'hand', 'craft', 'stand', 'selling', 'various', 'candy', 'recommend', 'going', 'guide', 'gain', 'understanding', 'overall', 'good', 'experience']",enjoyed walking around main square part historic center nice spot photo particularly crowded vendor including table set sell hand craft stand selling various candy recommend going guide gain understanding overall good experience,Positivo
Definetely a must when in Quito!,"Quito Old Town is beautiful, there are so many different churches you can visit and most of them offer you guided tours aswell. I reccomend taking cash as most places do not accept card.",5,2025-04-11,Kitija Sohireva,,186,quito old town is beautiful there are so many different churches you can visit and most of them offer you guided tours aswell i reccomend taking cash as most places do not accept card,"['beautiful', 'many', 'different', 'churches', 'offer', 'guided', 'tours', 'aswell', 'reccomend', 'taking', 'cash', 'places', 'accept', 'card']",14,"['beautiful', 'many', 'different', 'church', 'offer', 'guided', 'tour', 'aswell', 'reccomend', 'taking', 'cash', 'place', 'accept', 'card']",beautiful many different church offer guided tour aswell reccomend taking cash place accept card,Positivo
"Fascinating Old Town, Be Alert After Sundown","I really liked Quito's old town. During the day, the streets felt alive with people and daily activities. Stores and restaurants were busy. The old town was interesting and atmospheric.After sunset, the activity ebbed; though, eateries were still open. I felt safe on the main streets; but, some of the dimly lit alleyways looked empty and ominous.",5,2025-03-17,Gareth C,,348,i really liked quito s old town during the day the streets felt alive with people and daily activities stores and restaurants were busy the old town was interesting and atmospheric after sunset the activity ebbed though eateries were still open i felt safe on the main streets but some of the dimly lit alleyways looked empty and ominous,"['liked', 'streets', 'felt', 'alive', 'people', 'daily', 'activities', 'stores', 'restaurants', 'busy', 'interesting', 'atmospheric', 'sunset', 'activity', 'ebbed', 'though', 'eateries', 'still', 'open', 'felt', 'safe', 'main', 'streets', 'dimly', 'lit', 'alleyways', 'looked', 'empty', 'ominous']",29,"['liked', 'street', 'felt', 'alive', 'people', 'daily', 'activity', 'store', 'restaurant', 'busy', 'interesting', 'atmospheric', 'sunset', 'activity', 'ebbed', 'though', 'eatery', 'still', 'open', 'felt', 'safe', 'main', 'street', 'dimly', 'lit', 'alleyway', 'looked', 'empty', 'ominous']",liked street felt alive people daily activity store restaurant busy interesting atmospheric sunset activity ebbed though eatery still open felt safe main street dimly lit alleyway looked empty ominous,Positivo
Very well preserved.,"The historic center of Quito is really well preserved, with large squares and many churches, first of all the Basilica and the church of the Society of Jesus. But there are also many hidden gems such as the Bolivar theater and calle la Ronda to give an example.A note of merit to the craft beer that you can find in the convent of San Francisco and the palace of the archbishopric that houses a famous restaurant and a curious history.A note of discord is only for the lack of security with which one enters the high parts of some churches, really dangerous.",4,2025-02-15,Blackfields,,558,the historic center of quito is really well preserved with large squares and many churches first of all the basilica and the church of the society of jesus but there are also many hidden gems such as the bolivar theater and calle la ronda to give an example a note of merit to the craft beer that you can find in the convent of san francisco and the palace of the archbishopric that houses a famous restaurant and a curious history a note of discord is only for the lack of security with which one enters the high parts of some churches really dangerous,"['historic', 'center', 'preserved', 'large', 'squares', 'many', 'churches', 'basilica', 'church', 'society', 'jesus', 'many', 'hidden', 'gems', 'bolivar', 'theater', 'calle', 'ronda', 'give', 'example', 'note', 'merit', 'craft', 'beer', 'find', 'convent', 'san', 'francisco', 'palace', 'archbishopric', 'houses', 'famous', 'restaurant', 'curious', 'history', 'note', 'discord', 'lack', 'security', 'enters', 'high', 'parts', 'churches', 'dangerous']",44,"['historic', 'center', 'preserved', 'large', 'square', 'many', 'church', 'basilica', 'church', 'society', 'jesus', 'many', 'hidden', 'gem', 'bolivar', 'theater', 'calle', 'ronda', 'give', 'example', 'note', 'merit', 'craft', 'beer', 'find', 'convent', 'san', 'francisco', 'palace', 'archbishopric', 'house', 'famous', 'restaurant', 'curious', 'history', 'note', 'discord', 'lack', 'security', 'enters', 'high', 'part', 'church', 'dangerous']",historic center preserved large square many church basilica church society jesus many hidden gem bolivar theater calle ronda give example note merit craft beer find convent san francisco palace archbishopric house famous restaurant curious history note discord lack security enters high part church dangerous,Positivo
Please be aware of thieves.,"My wife and I had one day to spend in Quito on our way to the Galapagos. We stayed on the edge of the Old Town and on Sunday morning walked a seemingly safe and obvious route from Plaza de San Francisco to Independence Square and on up to the Basilica of the National Vow. Sunny day, lots of people about but as we walked up Venezuela to the Basilica, it seemed a bird poohed on my wife from above. A seemingly helpful man carrying a water bottle stared to pour water over some of the ‘poop’. An older man seemingly just walking up the road too pointed upwards to indicate this must have been a bird. It wasn’t. They had thrown a mucky bird-poop like mixture onto my wife and while we were distracted stole the rucksack I had stupidly put on the ground against a wall - they actually swapped an empty black  rucksack for ours which meant it took us a little longer to realise we’d been robbed. We are experienced travellers and thought we were being very careful - beware of the speed and ingenuity of Quito thieves.",2,2025-01-26,Mark,"Ostuni, Italy",1016,my wife and i had one day to spend in quito on our way to the galapagos we stayed on the edge of the old town and on sunday morning walked a seemingly safe and obvious route from plaza de san francisco to independence square and on up to the basilica of the national vow sunny day lots of people about but as we walked up venezuela to the basilica it seemed a bird poohed on my wife from above a seemingly helpful man carrying a water bottle stared to pour water over some of the poop an older man seemingly just walking up the road too pointed upwards to indicate this must have been a bird it wasn t they had thrown a mucky bird poop like mixture onto my wife and while we were distracted stole the rucksack i had stupidly put on the ground against a wall they actually swapped an empty black rucksack for ours which meant it took us a little longer to realise we d been robbed we are experienced travellers and thought we were being very careful beware of the speed and ingenuity of quito thieves,"['wife', 'spend', 'way', 'galapagos', 'stayed', 'edge', 'sunday', 'morning', 'walked', 'seemingly', 'safe', 'obvious', 'route', 'plaza', 'san', 'francisco', 'independence', 'square', 'basilica', 'national', 'vow', 'sunny', 'lots', 'people', 'walked', 'venezuela', 'basilica', 'seemed', 'bird', 'poohed', 'wife', 'seemingly', 'helpful', 'man', 'carrying', 'water', 'bottle', 'stared', 'pour', 'water', 'poop', 'older', 'man', 'seemingly', 'walking', 'road', 'pointed', 'upwards', 'indicate', 'must', 'bird', 'thrown', 'mucky', 'bird', 'poop', 'mixture', 'onto', 'wife', 'distracted', 'stole', 'rucksack', 'stupidly', 'put', 'ground', 'wall', 'actually', 'swapped', 'empty', 'black', 'rucksack', 'meant', 'little', 'longer', 'realise', 'robbed', 'experienced', 'travellers', 'thought', 'careful', 'beware', 'speed', 'ingenuity', 'thieves']",83,"['wife', 'spend', 'way', 'galapagos', 'stayed', 'edge', 'sunday', 'morning', 'walked', 'seemingly', 'safe', 'obvious', 'route', 'plaza', 'san', 'francisco', 'independence', 'square', 'basilica', 'national', 'vow', 'sunny', 'lot', 'people', 'walked', 'venezuela', 'basilica', 'seemed', 'bird', 'poohed', 'wife', 'seemingly', 'helpful', 'man', 'carrying', 'water', 'bottle', 'stared', 'pour', 'water', 'poop', 'older', 'man', 'seemingly', 'walking', 'road', 'pointed', 'upwards', 'indicate', 'must', 'bird', 'thrown', 'mucky', 'bird', 'poop', 'mixture', 'onto', 'wife', 'distracted', 'stole', 'rucksack', 'stupidly', 'put', 'ground', 'wall', 'actually', 'swapped', 'empty', 'black', 'rucksack', 'meant', 'little', 'longer', 'realise', 'robbed', 'experienced', 'traveller', 'thought', 'careful', 'beware', 'speed', 'ingenuity', 'thief']",wife spend way galapagos stayed edge sunday morning walked seemingly safe obvious route plaza san francisco independence square basilica national vow sunny lot people walked venezuela basilica seemed bird poohed wife seemingly helpful man carrying water bottle stared pour water poop older man seemingly walking road pointed upwards indicate must bird thrown mucky bird poop mixture onto wife distracted stole rucksack stupidly put ground wall actually swapped empty black rucksack meant little longer realise robbed experienced traveller thought careful beware speed ingenuity thief,Negativo
Private Guide of Quito,"Spent a full day in Quito before we head to the Galapagos tomorrow for our Lindblad Expeditions National Geographic Expeditions cruise. Through the excellent advice and recommendations from the group we hired Ricardo Villalobos as our guide for the day. He picked us up at the Swissotel (also highly recommend) at 8:45 and for almost 9 hours took us to all the top sites on our list: the middle of the earth/equator, the Church of the Society of Jesus (golden church), Independence Square, lunch at La Vid ( fantastic!), Virgin of the Panecillo on the hill with spectacular views, chocolate shopping, La Ronda ( would only go there with a guide), and shopping at the indoor markets. Ricardo is extremely professional, knowledgeable, accommodating, seriously knows his way around the city, and went above and beyond to cover everything we wanted to see. I felt COMPLETELY safe with him and would not tour the city on my own. Traffic is crazy and neighborhoods can change quickly. His car is super clean and comfortable. And he’s extremely reasonable. He has excellent reviews on Trip Advisor which are well earned. I highly highly recommend him! Lastly, every single Ecuadorian we met was friendly, gracious and welcoming. They are lovely people!”",5,2025-01-26,judy h,,1246,spent a full day in quito before we head to the galapagos tomorrow for our lindblad expeditions national geographic expeditions cruise through the excellent advice and recommendations from the group we hired ricardo villalobos as our guide for the day he picked us up at the swissotel also highly recommend at and for almost hours took us to all the top sites on our list the middle of the earth equator the church of the society of jesus golden church independence square lunch at la vid fantastic virgin of the panecillo on the hill with spectacular views chocolate shopping la ronda would only go there with a guide and shopping at the indoor markets ricardo is extremely professional knowledgeable accommodating seriously knows his way around the city and went above and beyond to cover everything we wanted to see i felt completely safe with him and would not tour the city on my own traffic is crazy and neighborhoods can change quickly his car is super clean and comfortable and he s extremely reasonable he has excellent reviews on trip advisor which are well earned i highly highly recommend him lastly every single ecuadorian we met was friendly gracious and welcoming they are lovely people,"['spent', 'full', 'head', 'galapagos', 'tomorrow', 'lindblad', 'expeditions', 'national', 'geographic', 'expeditions', 'cruise', 'excellent', 'advice', 'recommendations', 'group', 'hired', 'ricardo', 'villalobos', 'guide', 'picked', 'swissotel', 'highly', 'recommend', 'almost', 'hours', 'top', 'sites', 'list', 'middle', 'earth', 'equator', 'church', 'society', 'jesus', 'golden', 'church', 'independence', 'square', 'lunch', 'vid', 'fantastic', 'virgin', 'panecillo', 'hill', 'spectacular', 'views', 'chocolate', 'shopping', 'ronda', 'guide', 'shopping', 'indoor', 'markets', 'ricardo', 'extremely', 'professional', 'knowledgeable', 'accommodating', 'seriously', 'knows', 'way', 'around', 'city', 'beyond', 'cover', 'everything', 'wanted', 'felt', 'completely', 'safe', 'tour', 'city', 'traffic', 'crazy', 'neighborhoods', 'change', 'quickly', 'car', 'super', 'clean', 'comfortable', 'extremely', 'reasonable', 'excellent', 'reviews', 'trip', 'advisor', 'earned', 'highly', 'highly', 'recommend', 'lastly', 'every', 'single', 'ecuadorian', 'met', 'friendly', 'gracious', 'welcoming', 'lovely', 'people']",101,"['spent', 'full', 'head', 'galapagos', 'tomorrow', 'lindblad', 'expedition', 'national', 'geographic', 'expedition', 'cruise', 'excellent', 'advice', 'recommendation', 'group', 'hired', 'ricardo', 'villalobos', 'guide', 'picked', 'swissotel', 'highly', 'recommend', 'almost', 'hour', 'top', 'site', 'list', 'middle', 'earth', 'equator', 'church', 'society', 'jesus', 'golden', 'church', 'independence', 'square', 'lunch', 'vid', 'fantastic', 'virgin', 'panecillo', 'hill', 'spectacular', 'view', 'chocolate', 'shopping', 'ronda', 'guide', 'shopping', 'indoor', 'market', 'ricardo', 'extremely', 'professional', 'knowledgeable', 'accommodating', 'seriously', 'know', 'way', 'around', 'city', 'beyond', 'cover', 'everything', 'wanted', 'felt', 'completely', 'safe', 'tour', 'city', 'traffic', 'crazy', 'neighborhood', 'change', 'quickly', 'car', 'super', 'clean', 'comfortable', 'extremely', 'reasonable', 'excellent', 'review', 'trip', 'advisor', 'earned', 'highly', 'highly', 'recommend', 'lastly', 'every', 'single', 'ecuadorian', 'met', 'friendly', 'gracious', 'welcoming', 'lovely', 'people']",spent full head galapagos tomorrow lindblad expedition national geographic expedition cruise excellent advice recommendation group hired ricardo villalobos guide picked swissotel highly recommend almost hour top site list middle earth equator church society jesus golden church independence square lunch vid fantastic virgin panecillo hill spectacular view chocolate shopping ronda guide shopping indoor market ricardo extremely professional knowledgeable accommodating seriously know way around city beyond cover everything wanted felt completely safe tour city traffic crazy neighborhood change quickly car super clean comfortable extremely reasonable excellent review trip advisor earned highly highly recommend lastly every single ecuadorian met friendly gracious welcoming lovely people,Positivo
